Datetime,Predicted_MCP,Upper_CI,Lower_CI
2025-03-01 03:45:00,2964.3462,3576.2215970972816,2352.4707857152184
2025-03-01 04:00:00,2993.6235,3605.4989408472816,2381.7481294652184
2025-03-01 04:15:00,3238.8206,3850.6959623316566,2626.9451509495934
2025-03-01 04:30:00,3065.2751,3677.1505521754066,2453.3997407933434
2025-03-01 04:45:00,2940.1526,3552.0279935816566,2328.2771821995934
2025-03-01 05:00:00,3188.6316,3800.5069974879066,2576.7561861058434
2025-03-01 05:15:00,3307.9006,3919.7760404566566,2696.0252290745934
2025-03-01 05:30:00,2849.674,3461.5494779566566,2237.7986665745934
2025-03-01 05:45:00,3105.008,3716.8834623316566,2493.1326509495934
2025-03-01 06:00:00,3347.5579,3959.4332670191566,2735.6824556370934
2025-03-01 06:15:00,3216.2854,3828.1608060816566,2604.4099946995934
2025-03-01 06:30:00,3070.2422,3682.1175931910316,2458.3667818089684
2025-03-01 06:45:00,2866.118,3477.9933256129066,2254.2425142308434
2025-03-01 07:00:00,3797.089,4408.964517019156,3185.2137056370934
2025-03-01 07:15:00,3799.3655,4411.240884206656,3187.4900728245934
2025-03-01 07:30:00,2555.5276,3167.4029935816566,1943.6521821995934
2025-03-01 07:45:00,3158.2175,3770.0929349879066,2546.3421236058434
2025-03-01 08:00:00,4085.746,4697.621499441031,3473.8706880589684
2025-03-01 08:15:00,3207.543,3819.4183744410316,2595.6675630589684
2025-03-01 08:30:00,3076.0183,3687.8937162379066,2464.1429048558434
2025-03-01 08:45:00,3128.5698,3740.4452299097816,2516.6944185277184
2025-03-01 09:00:00,3269.3196,3881.1949857691566,2657.4441743870934
2025-03-01 09:15:00,3224.703,3836.5782865504066,2612.8274751683434
2025-03-01 09:30:00,3798.4463,4410.321694753531,3186.5708833714684
2025-03-01 09:45:00,2526.0334,3137.9088529566566,1914.1580415745934
2025-03-01 10:00:00,2898.4248,3510.3002103785316,2286.5493989964684
2025-03-01 10:15:00,3713.653,4325.528481862906,3101.7776704808434
2025-03-01 10:30:00,3200.0017,3811.8771146754066,2588.1263032933434
2025-03-01 10:45:00,3330.3435,3942.2189115504066,2718.4681001683434
2025-03-01 11:00:00,3024.9438,3636.8192533472816,2413.0684419652184
2025-03-01 11:15:00,3205.9604,3817.8358549097816,2594.0850435277184
2025-03-01 11:30:00,3286.208,3898.0834135035316,2674.3326021214684
2025-03-01 11:45:00,3164.0503,3775.9256986597816,2552.1748872777184
2025-03-01 12:00:00,2835.9412,3447.8165678004066,2224.0657564183434
2025-03-01 12:15:00,3225.2502,3837.1256498316566,2613.3748384495934
2025-03-01 12:30:00,2979.6812,3591.5565580347816,2367.8057466527184
2025-03-01 12:45:00,2614.75,3226.6254056910316,2002.8745943089684
2025-03-01 13:00:00,2924.24,3536.1153959254066,2312.3645845433434
2025-03-01 13:15:00,2878.9775,3490.8529447535316,2267.1021333714684
2025-03-01 13:30:00,2712.3342,3324.2096342066566,2100.4588228245934
2025-03-01 13:45:00,3165.7014,3777.5768217066566,2553.8260103245934
2025-03-01 14:00:00,3254.1292,3866.0045560816566,2642.2537446995934
2025-03-01 14:15:00,2061.9863,2673.8617338160316,1450.1109224339684
2025-03-01 14:30:00,2467.5852,3079.4606107691566,1855.7097993870934
2025-03-01 14:45:00,4455.845,5067.720620534781,3843.9698091527184
2025-03-01 15:00:00,2336.3242,2948.1996244410316,1724.4488130589684
2025-03-01 15:15:00,2076.2375,2688.1129545191566,1464.3621431370934
